Рогов Остромир Георгиевич;Плесецк;ул. Томская, д. 7 к. 3/9;Мон Дэлис (Mondelez);Гастроэнтеролог;8 (321) 591-1634;lev_89@hotmail.com;1991-04-12;192601
Боброва Любовь Ильинична;Балашов;пр. Луговой, д. 9 стр. 34;Кроношпан (Kronoplus);Военно-полевой хирург;+7 881 766 9399;praskovja1987@rambler.ru;1984-03-08;172496
Татьяна Аркадьевна Баранова;Миасс;наб. Кольцова, д. 2/6 к. 682;ВкусВилл;Экспедитор на дальних поездках;8 282 969 21 27;shilovdemid@yandex.ru;1983-07-25;92836
Соболева Ирина Аркадьевна;Теберда;ул. Пионерская, д. 915 стр. 81;Мазда Соллерс Мануфэкчуринг Рус;Токсиколог;+7 (987) 897-52-39;rostislav_29@gmail.com;1974-11-06;41742
Мамонтов Пимен Игнатович;Кропоткин (Краснод.);пер. Февральский, д. 7/1 к. 1;ГК Ташир;Пулемётчик;+70881044134;panfil_37@rambler.ru;1997-12-07;108087
Кузьмина Феврония Юльевна;Анапа;пр. Добролюбова, д. 5/8 к. 2;Группа Синара;Плотник;+7 289 840 47 69;ykozlov@rambler.ru;1973-06-02;189068
Синклитикия Константиновна Фомичева;Москва, МГУ;алл. Средняя, д. 8 стр. 79;En +;Машинистка;+79567890570;kapiton1975@mail.ru;2003-09-07;62804
Михаил Давидович Коновалов;Ясный (Оренб.);ул. Детская, д. 1 к. 3;Ферронордик машины (Ferronordic);Водолаз;83106209338;petr2018@mail.ru;2000-07-05;89741
Игнатьева Дарья Егоровна;Уварово;ул. Гражданская, д. 3/8;Европа;Радист;+7 (831) 437-4270;ljubomir26@gmail.com;1996-09-26;160284
Вадим Артемьевич Емельянов;Абинск;пр. Верхний, д. 34 к. 3;Корпорация Электросевкавмонтаж;Диктор;+7 (072) 791-3767;oevseev@hotmail.com;1976-01-18;88191
Киселева Евгения Антоновна;Солнечногорск;пр. Проточный, д. 21 к. 47;Агентство по страхованию вкладов (АСВ);Поэт;8 782 269 58 36;vasilisa_01@mail.ru;1954-10-10;174254
Эммануил Евстигнеевич Маслов;Владивосток;наб. Горняцкая, д. 47 к. 250;Уралкалий;Машинист локомотива;+75042281697;mihail1989@yandex.ru;2000-03-30;89827
Тарасова Акулина Захаровна;Вязьма;ул. Ветеранов, д. 7/6 к. 49;Ростех;Строитель;+75623967601;flarionova@gmail.com;2002-08-17;181014
Севастьян Филатович Колесников;Алексин;наб. Базарная, д. 391;Омега Групп;Операционист;+7 (147) 400-7674;anikita_76@mail.ru;1985-10-03;72854
Раиса Ефимовна Агафонова;Северобайкальск;алл. Сурикова, д. 83 к. 9/9;Нефтьмагистраль;Металлург;+7 525 187 5785;alevtina1989@hotmail.com;1981-11-17;175671
тов. Дементьев Наум Харлампович;Хасан;наб. Привокзальная, д. 56;Российская телевизионная и радиовещательная сеть;Врач функциональной диагностики;+73004836174;mark_1997@rambler.ru;1988-03-27;173535
Веселов Валентин Федосеевич;Калачинск;алл. Карьерная, д. 6/7 к. 6/5;Мишлен (Michelin);Метрдотель;+72842712253;irina1976@mail.ru;1998-05-31;67565
Елена Афанасьевна Субботина;Цимлянск;алл. Жуковского, д. 35 стр. 211;Авиакомпания Икар;Зоотехник;+75651713975;pankrati_1980@yahoo.com;1978-07-07;166250
Ларионов Андроник Ефимович;Ревда (Сверд.);бул. Литейный, д. 449 к. 22;Казаньоргсинтез;Футуролог;8 338 846 49 04;hristoforblohin@hotmail.com;1984-06-26;96105
